date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:39	665453/665453	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:21:29%20GMT	https://www.classcentral.com/	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/index.html	(from )
18:21:39	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%226406e3f1-154%22	https://www.classcentral.com/robots.txt		(from )
18:21:40	9463/9463	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/nicolas/Desktop/prueba/prueba/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
18:21:47	816911/816911	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:21:40%20GMT	https://www.classcentral.com/subject/maths	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
18:21:50	2206/2206	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
18:22:00	840834/840834	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:21:50%20GMT	https://www.classcentral.com/subject/business	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
18:22:00	975/975	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
18:22:10	731/731	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
18:22:20	806068/806068	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:22:11%20GMT	https://www.classcentral.com/subject/engineering	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/engineering.html	(from https://www.classcentral.com/)
18:22:20	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%22640499db-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
18:22:31	1960/1960	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%226406e2dc-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
18:22:41	844280/844280	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:22:31%20GMT	https://www.classcentral.com/subject/science	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/science.html	(from https://www.classcentral.com/)
18:22:41	913/913	U-----	200	untouched ('')	text/xml	etag:W/%226406e3f1-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
18:23:01	788902/788902	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:22:51%20GMT	https://www.classcentral.com/subject/education	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/education.html	(from https://www.classcentral.com/)
18:23:01	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
18:23:08	830006/830006	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:23:01%20GMT	https://www.classcentral.com/subject/social-sciences	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/social-sciences.html	(from https://www.classcentral.com/)
18:23:11	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
18:23:16	822982/822982	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2023:23:11%20GMT	https://www.classcentral.com/subject/art-and-design	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/art-and-design.html	(from https://www.classcentral.com/)
18:23:21	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
