date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:18	219/219	U--MCZ	200	updated ('OK')	text/plain	etag:W/%226406e3f1-154%22	https://www.classcentral.com/robots.txt		(from )
10:16:18	665316/665316	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:17%20GMT	https://www.classcentral.com/	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/index.html	(from )
10:16:18	2206/2206	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
10:16:19	9463/9463	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/nicolas/Desktop/prueba/prueba/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
10:16:19	975/975	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
10:16:19	731/731	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
10:16:19	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%22640499db-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
10:16:20	1960/1960	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%226406e2dc-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
10:16:20	826857/826857	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:19%20GMT	https://www.classcentral.com/subject/humanities	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
10:16:20	913/913	U--MCZ	200	updated ('OK')	text/xml	etag:W/%226406e3f1-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
10:16:20	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
10:16:20	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
